No,Question,A,B,C,D,Correct
202,"Berikut adalah profesi penunjang sektor keuangan, kecuali",Notaris,Ahli Syariah Pasar Modal,Akuntan Publik,Penilai Publik,B
203,Ikhtisar Kinerja Keberlanjutan berisikan aspek,"Strategi keberlanjutan, ekonomi, dan tata kelola","Ekonomi, politik, dan sosial","Tata kelola, sosial, dan lingkungan hidup","Sosial, lingkungan hidup, dan ekonomi",
204,Produk pasar modal syariah yang underlying-nya berupa aset adalah,Sukuk,Saham,SCF,Reksa dana pasar uang,A
205,Pihak yang menyelenggarakan dan menyediakan atau menggunakan Sistem Elektronik untuk mempertemukan Transaksi Efek atas Efek bersifat utang dan/atau sukuk antar pengguna jasa secara terus menerus di luar Bursa Efek adalah pengertian dari,Bursa Efek,Perusahaan Efek,Kustodian,Penyelenggara Pasar Alternatif,D
206,"Bertugas salah satunya sebagai penghubung antara Emiten atau Perusahaan Publik dengan pemegang saham Emiten atau Perusahaan Publik, Otoritas Jasa Keuangan, dan pemangku kepentingan lainnya adalah tugas",Komite audit,Komisaris utama,Sekretaris perusahaan,Komisaris independent,C
207,Rencana Perubahan dan hasil reviu PRE wajib disampaikan oleh Emiten kepada OJK dalam jangka waktu berapa hari ?,paling lambat 14 hari sebelum penyelenggaraan RUP EBUS LSK,paling lambat 5 hari kerja setelah diperolehnya persetujuan dari pemegang EBUS LSK,paling lambat 14 hari kerja setelah diperolehnya persetujuan dari pemegang EBUS LSK,Paling lambah 5 hari sebelum penyelenggaraan RUP EBUS LSK.,
208,"-selesai- Tindak lanjut pengawasan offsite dapat dilakukan, kecuali",Pelimpahan Keterlambatan Laporan,"Sanksi Administratif, seperti teguran tertulis",Sanksi suspensi kegiatan,Pencabutan Izin usaha karena pelanggaran UUPM,D
209,Apakah tindak lanjut yang dilakukan untuk Manajer Investasi yanç memiliki profil risiko sangat tinggi?,Melakukan pengawasan secara on-site (pemeriksaan kepatuhan),Dikenakan teguran,Mengundang Manajer Investasi untuk diminta keterangan,Melakukan peng awasan secara off-site,A
210,Tugas dan wewenang JK dalam ekosistem Perdagangan Karbon di Indo nesia adalan,Mengatur dan mengawasi perdagangan unit karbo n pada pasar sekunder yang ditransaksikan melalui Burse Karbon,Mengatur dan mengawasi penetapan pengurangan emisi dan penerapan pajak karbon,Mengatur dan mengawasi penyelenggaraan perdagangan karbon secara menyeluruh,Mengatur dan mengawasi penerbitan unit karbon dan pendaftaran pada sistem registrasi nasional,A
211,Berapa lama waktu pelaksanaan rencana tindak pada perubahan status EBUS LSK?,6 bulan sejak diterima oleh OJK,6 bulan sejak hasil review,1 tahun sejak diterima oleh OJK,1 tahun sejak hasil review,C
212,Daftar Efek Syariah yang diterbitkan oleh Pihak Penerbit Daftar Efek Syariah dapat memuat efek syariah yang diperdagangakan di..,Bursa Efek,Luar Negeri,Dalam negeri,Dalam dan luar negeri,B
213,"Dalam menganalisis keterkaitan pihak yang diduga melakukan pelanggaran, data mutasi dari rekening bank yang diminta Pengawas Transaksi Efek kepada Pengawas Bank OJK digunakan untuk menganalisis hal berikut, kecuali",profil nasabah,penerima manfaat/beneficial owner,mutasi efek,aliran dana,C
214,"Berikut merupakan komponen-komponen penyusunan Peringkat Komposit Perusahaan Efek, kecuali","Permodalan, Anuitas, Profil Risiko","Permodalan, Rentabilitas, dan Tata Kelola","Profil Risiko, Permodalan dan Tata Kelola","Profil Risiko, Permodalan dan Rentabilitas",A
215,Pihak yang terlibat dalam reksa dana syariah selain investor adalah,Perusahaan Sekuritas dan Manajer Investasi,"Emiten, Manajer Investasi dan Bank Kustodian",Manajer Investasi dan Bank Kustodian,Bank Kustodian dan Perusahaan Sekuritas,C
216,Mekanisme berbasis pasar untuk mengurangi emisi GRK melalui kegiatan jual beli adalah pengertian dari,Bursa Karbon,Penyelanggara Bursi Karbon,Perdagangan Karbon,Penggunan Jasa Bursa Karbon,C
217,Penerapan una via principle di pasar modal yang tidak benar,Pemeriksa merekomendasikan pengenaan tindakan alternatif dengan sanksi administratif atas tindak pidana pasar modal,Diputuskan oleh KE Pasar Modal dan dimintakan persetujuan melalui Rapat Dewan Komisioner karena bersifat strategis,Merupakan penerapan konsep restorative justice system,Untuk tindak pidana PM yang telah ditemukan bukti permulaan berdasarkan pemerik,A
218,"Surat bentuk bukti pengurangan emisi oleh usaha dan/atau kegiatan yang telah melalui measurement, reporting, and verification, serta tercatat dalam SRN PPI adalah",Sertifikat Emisi Pengurangan GRK,Sertifikat Pengurangan Emisi,Sertifikat Pengurangan Emisi GRK,Sertifikat GRK Pengurangan Emisi,C
219,Manakah dasar hukum yang diratifikasi pemerintah Indonesia atas konvensi kerja PBB sebag pemenuhan komitmen Indonesia terhadap perubahan iklim dibawah ini,UU No. 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan (P25SK),UU No. 16 Tahun 2016 tentanç Pengesahan Paris Agreement,Peraturan Menteri LHK No.21 Tahun 2022 tentang Tata Laksana Penerapan Nilai Ekon Karbon,Peraturan Presiden No. 98 Tahun 2021 tentang Nilai Ekonomi Karbon,B
220,POJK yang mengatur penerbitan Efek Bersifat Utang dan Sukuk (EBUS) berlandaskan keberlanjutan adalah,POJK 18/2023,"POJK 60/2017 → POJK lama (Obligasi berbasis risiko, sukuk ga ada)",POJK 51/2017  → POJK 51/2018 : Laporan pengelolaan investasi tahunan (rencana aksi keuangan keberlanjutan),POJK 14/2023 → Bursa karbon,A
221,Berikut yang merupakan laporan insidental Agen Penjual Efek Reksa Dana adalah,Laporan Keuangan Tahunan,Laporan harian Nilai Aktiva Bersih,Laporan Modal Kerja Bersih Disesuaikan,Laporan perubahan tenaga pemasar,D
222,Aplikasi Penerima Laporan Transaksi Efek (PLTE) Daily Watching merupakan aplikasi yang digunakan oleh Pengawas Transaksi Efek untuk melihat data pelaporan transaksi,saham dan EBUS (Efek bersifat utang (obligasi) atau sukuk),EBUS (Efek bersifat utang (obligasi) atau sukuk),saham,tidak ada jawaban yang benar,B
223,Perbedaan utama ( TC derivatives dengan ETD adalah,"OTC tidak memerlukan margin, ETD memerlukan margin","OTC selalu terkait saham, ETD hanya terkait obligasi","OTC lebih standar, ETD lebih fleksibel","OTC dinegosiasikan privat (bilateral), ETD diperdagangkan di bursa",D
224,Yang tidak termasuk dalam Lembaga Penunjang Pasar Modal adalah,Wali Amanat,Pemeringkat Efek,Biro Administrasi Efek,Kustodian,B
225,"Dari seluruh mekanisme penyelenggaraan nilai ekonomi karbon, manakah yang menjadi kewenangan OJK",Mekanisme lainnya sesuai perkembangan IPTEK ditetapkan oleh Menteri,Pungutan atas karbon,Pembayaran berbasis kinerja (RBP),Perdagangan Emisi,D
226,EBUS LSK yang tidak lagi memenuhi ketentuan untuk tetap menjadi EBUS LSK maka harus melakukan perubahan status dan mekajukan buyback atau kenaiakan kupon. Berikut merup salah satu ketentuan buyback EBUS LSK,Perlaksanaan pembelian kembali paling lambat 3 bulan setelah permintaan disampaik,Perlaksanaan pembelian kembali pi ling lambat 6 bulan setelah permintaan disampail,Perlaksanaan pembelian kembali paling lambat 3 bulan setelah emiten mengumumka kepada publik terkait perubahan status EBUS LSK,Perlaksanaan pembelian kembali paling lambat 6 bulan setelah emiten mengumumk kepada publik terkait perubahan status EBUS LSK,D
227,Penasihat Investasi wajib sekurang-kurangnya memiliki seorang tenaga ahli yang memiliki izin sebagai,Wakil Manajer Investasi,Wakil Agen Penjual Efek Reksa Dana,Penasihat investasi perorangan,Wakil Perusahaan Efek,A
228,Suatu transaksi dikategorikan sebagai Transaksi Material apabila nilai transaksi sama dengan,5% atau lebih dari ekuitas Perusahaan Terbuka,20% atau lebih dari ekuitas Perusahaan Terbuka,10% atau lebih dari ekuitas Perusahaan Terbuka,50% atau lebih dari ekuitas Perusahaan Terbuka,B
229,Kriteria Efek bersifat utang tanpa Penawaran Umum adalah ...,Memiliki jatuh tempo lebih dari 1 (satu) tahun atau memiliki jatuh tempo kurang dari (satu) tahun,Efek bersifat utang tanpa Penawaran Umum memiliki jatuh tempo lebih dari 1 (satu) tahun atau memiliki jatuh tempo tidak lebih dari 1 (satu) tahun yang tidak diawasi oleh otoritas lain,Nilai penerbitan Efek bersifat utang tanpa Penawaran Umum paling sedikit Rp.10 mili atau kurang dari Rp.10 miliar yang penerbitannya dilakukan beberapa kali sehingga: dalam jangka waktu 1 (satu) tahun mencapai nilai pi ling sedikit Rp. 10 miliar,Nilai penerbitan Efek bersifat utang tanpa Penawaran Umum piling sedikit Rp. Rp.10 miliar,B
230,Securities crowdfunding syariah termasuk dalam kategori,Reksa dana,obligasi negara,alternatif pembiayaan syariah,kontrak derivative,C
231,Derivatif adalah instrumen keuangan yang nilainya diturunkan dari,Nilai inflasi,Harga saham IPO,Aset yang mendasarinya (underlying),Kurs BI,C
232,Manakah pernyataan yang tidak benar terkait Penyelenggara Bursa Karbon,Penyelenggara Bursa Karbon harus memperoleh izin usaha dari KLHK,Penyelenggara Bursa Karbon dapat menyusun peraturannya sendiri setelah mendapat persetujuan OJK,Penyelenggara Bursa Karbon memperdagangkan Unit Karbon yang terdaftar pada SRN-PPI,Penyelenggara Bursa Karbon harus memperoleh izin usaha dari OJK,A
233,Perbedaan utama OTC derivatives dengan ETD adalah,"OTC dinegosiasikan privat (bilateral), ETD diperdagangkan di bursa","OTC selalu terkait saham, ETD hanya terkait obligasi","OTC lebih standar, ETD lebih fleksibel","OTC tidak memerlukan margin, ETD memerlukan margin",A
234,perbedaan utama antara metode pemeriksaan off-site inspection dan on-site inspection,"Off-site dilakukan secara berkala, sementara on-site dilakukan secara insidentil.","Off-site dilakukan di kantor OJK, sementara on-site dilakukan dengan mendatangi langsung objek pemeriksaan.","Off-site menggunakan teknik simulasi, sementara on-site tidak.","Off-site fokus pada pengaduan, sementara on-site fokus pada pelanggaran.",B
235,43- Berapa batasan penempatan investasi pada 1 Pihak dalam Reksa Dana,5%,10%,25%,15%,B
236,"Pemilihan opsi dengan tindakan administratif atas tindak pidana pasar modal dengan pertimbangan, kecuali",Penyelesaian atas kerugian yang timbul,Dampak kerugian terhadap sistem pasar modal secara keseluruhan,Nilai dari pelanggaran atau dampak pelanggaran,Profil pihak yang melakukan tindak pidana,D
237,Apakah tindak lanjut yang dilakukan untuk Manajer Investasi yang memiliki profil risiko sangat tinggi?,Mengundang Manajer Investasi untuk diminta keterangan,Melakukan pengawasan secara on-site (pemeriksaan kepatuhan),Melakukan pengawasan secara off-site,Dikenakan teguran,B
238,Apa perbedaan utama antara metode pemeriksaan off-site inspection dan on-site inspection,"Off-site dilakukan di kantor OJK, sementara on-site dilakukan dengan mendatangi","Off-site menggunakan teknik simulasi, sementara on-site tidak.","Off-site fokus pada pengaduan, sementara on-site fokus pada pelanggaran.","Off-site dilakukan secara berkala, sementara on-site dilakukan secara insidentil.",A
239,Berikut merupakan larangan bagi Penasihat Investasi kecuali,memberi nasihat kepada Pihak lain mengenai penjualan atau pembelian Efek dengan,mengelola dana nasabah,melakukan pemeringkatan Efek bagi Penasihat Investasi yang bukan perusahaan,mengungkapkan identitas nasabah kepada pihak ketiga kecuali diharuskan oleh,A
240,"Tn. C (Direksi dari Emiten) telah melakukan dua transaksi Saham Emiten atau lebih dengan menggunakan rekening Efeknya sehingga menyebabkan harga Efek di Bursa Efek tetap, naik, atau turun dengan tujuan mempengaruhi Pihak lain untuk membeli, menjual, atau menahan Efek. Tindak Pidana Pasar Modal apakah yang diduga telah dilakukan oleh Tn. C",Manipulasi pasar,Perdagangan orang dalam karena Tn. C adalah masuk dalam kategori orang dalam,Tidak ada tindak pidana yang dilakukan oleh Tn. C karena transaksi adalah hak investor,Pelanggaran transaksi afiliasi karena kedudukan Tn. C selaku Direksi,A
241,Tools apa yang digunakan untuk analisis data dan informasi di PMDK?,Semua benar,Sistem Informasi Pengawasan Pasar Modal,SQL dan Macro Excel,DSS (Decision Support System),A
242,Lembaga Penunjang yang memiliki fungsi untuk menerbitkan peringkat obligasi dan / atau sukuk adalah …,Biro Administrasi Efek,Wali Amanat,Kustodian Sentral Efek Indonesia,Perusahaan Pemeringkat,D
243,"Berikut merupakan larangan terhadap Manajer Investasi, kecuali",Terlibat dalam transaksi margin,Memiliki efek ekuitas yang tercatat di Bursa Efek lebih dari 5% dari modal disetor,Memiliki efek yang diterbitkan oleh 1 pihak lebih dari 10% dari NAB,Melakukan kerja sama penjualan Reksa Dana dengan Agen Penjual Efek Reksa Dana,D
244,"Manakah tindakan di bawah ini yang tidak menciptakan gambaran semu mengenai kegiatan perdagangan, keadaan pasar, atau harga Efek di Bursa Efek",Melakukan transaksi yang tidak mengakibatkan perubahan kepemilikan,Melakukan transaksi Efek dengan menggunakan rekening Efek di beberapa Perusahaan Efek dengan tujuan untuk menciptakan kekuatan penawaran jual dan penawaran beli atas suatu Efek di Bursa Efek,Meminjam saham kepada Perusahaan Efek karena telah melakukan short selling,"Melakukan penawaran jual atau penawaran beli Efek pada harga tertentu, di mana Pihak tersebut juga telah bersekongkol dengan Pihak lain yang melakukan penawaran beli atau penawaran jual Efek yang sama pada harga yang kurang lebih sama",C
245,Transaksi Benturan Kepentingan adalah transaksi yang dilakukan oleh perusahaan terbuka atau perusahaan terkendali dengan … yang mengandung Benturan Kepentingan,"Direksi dan Dewan Komisaris perusahaan terbuka, pemegang saham utama perusahaan","Setiap pihak, baik dengan Afiliasi maupun pihak selain Afiliasi",Pemegang saham utama perusahaan terbuka,Pengendali perusahaan terbuka,B
246,"Di dalam Pendelegasian Wewenang di Bidang Sektor Pasar Modal, Keuangan Derivatif, dan Bursa Karbon, Kantor OJK Daerah diberikan kewenangan melakukan Pemeriksaan terhadap Lembaga Jasa Keuangan di Daerah, kecuali",Mitra Pemasaran Perantara Pedagang Efek,Kantor Perwakilan Bursa Efek,Perusahaan Efek,Wakil Perusahaan Efek,B
247,Manakah pernyataan yang tidak benar terkait unit karbon yang dapat diperdagangkan melalui Bursa Karbon,Unit karbon SPE GRK di Bursa Karbon yang diterbitkan oleh Kementerian Lingkungan,Unit karbon yang diterbitkan oleh registri Internasional dapat diperdagangkan langsung,Unit karbon yang diperdagangkan di Bursa Karbon terlebih dahulu tercatat di SRN PPI,Unit karbon PTBAE-PU di Bursa Karbon yang diterbitkan oleh Kementerian terkait,B
248,"Organ tata kelola yang diatur dalam menjadi Emiten di Pasar Modal, kecuali",Komite Risiko,Internal Audit,Komite Nominasi dan Remunerasi,Komite Audit,A
249,Berapa minimal jumlah Pemegang Unit Penyertaan dalam Reksa Dana?,1 pihak,15 pihak,10 pihak,5 pihak,C
250,Perdagangan unit karbon dalam negeri dan/atau luar negeri dapat dilakukan dengan kecuali,Perdagangan langsung,Mekanisme Pasar melalui Bursa Karbon,Bursa Berjangka,IDX Carbon,C
251,Berikut yang merupakan faktor-faktor RBS Manajer Investasi adalah,"Good Corporate Governance, Risiko inheren, penerapan APU-PPT, Rentabilitas","Rentabilitas, Penerapan APU-PPT, Good Corporate Governance, Permodalan","Risiko inheren, Rentabilitas, penerapan APU-PPT, Permodalan","Risiko inheren, Good Corporate Governance, Rentabilitas, Permodalan",D
252,Produk derivatif dengan underlying SBN dikenal sebagai,KBSUN,SUN Retail,ORI,ETF,A
253,Unit karbon SPE GRK yang diajukan ke SRN PPI untuk digunakan dapat dikenal dengan istilah,Buffer,Surrender,Retired,Cancel,C
254,"Dalam menganalisis keterkaitan pihak yang diduga melakukan pelanggaran, Pengawas Transaksi Efek meminta data berikut kepada Pengawas Bank OJK, kecuali",Formulir pembukaan rekening efek,Formulir pembukaan rekening bank,Informasi penutupan rekening bank,Mutasi dana rekening bank,A
255,Ketentuan yang wajib dipenuhi oleh Direksi dan/atau Komisaris Perusahaan Efek adalah,Tidak memiliki keahlian di bidang Pasar Modal dan/atau Keuangan,Anggota direksi dan Dewan Komisaris Perusahaan Efek wajib berdomisili di Indonesia,Direktur Perusahaan Efek dilarang mempunyai jabatan rangkap pada Perusahaan lain,Komisaris Perusahaan Efek dapat merangkap sebagai Komisaris pada perusahaan Efek,C
256,"Yang merupakan tugas dari Bursa Efek, kecuali","Menyediakan jasa kustodian sentral dan penyelesaian transaksi yang teratur, wajar, dan …","Menyediakan infrastruktur, sarana pendukung, serta mengawasi kegiatan anggota","Menyelenggarakan perdagangan Efek yang teratur, wajar dan efisien","Menetapkan peraturan keanggotaan, pencatatan, perdagangan, kesepadanan efek, …",A
257,"Peraturan yang mendasari Pendelegasian Wewenang Kegiatan Operasional Mengenai Perizinan dan Pengawasan Sektor Jasa Keuangan di Bidang Pengawasan Sektor Pasar Modal, Keuangan Derivatif, dan Bursa Karbon di Kantor OJK Daerah adalah",SEDK nomor 19/SEDK.02/2023 tanggal 1 September 2023,KADK nomor KEP-1/D.04/2024 tanggal 8 Januari 2024,KADK nomor KEP-45/D.02/2017 tanggal 13 Juni 2017,PDK nomor 1/PDK.02/2023 tanggal 31 Januari 2023,B
258,DES ditetapkan oleh,BEI,DSN MUI,Bank Indonesia,OJK,D
259,Perusahaan mengajukan dokumen Pernyataan Pendaftaran kepada OJK melalui …,Sistem Pelaporan Emiten,Sistem Perizinan dan Registrasi Terintegrasi (SPRINT),Sistem Penerimaan OJK,Sistem Penawaran Umum Elektronik (e-IPO),B
260,"Landasan ketentuan internal di OJK, berupa",Peraturan Otoritas Jasa Keuangan (POJK) dan Surat Edaran Dewan Komisioner,Peraturan Otoritas Jasa Keuangan (POJK) dan Surat Edaran Otoritas Jasa Keuangan,Peraturan Dewan Komisioner (PDK) dan Surat Edaran Otoritas Jasa Keuangan,Peraturan Dewan Komisioner (PDK) dan Surat Edaran Dewan Komisioner (SEDK),D
261,"Berikut ini termasuk prinsip dalam Integrated Risk Rating, kecuali",Signifikansi/Materialitas dan Proporsionalitas,Relevant,Komprehensif dan Terstruktur,Agregasi Risiko,B
262,Kewenangan Kantor Non Koordinator terhadap Lembaga Jasa Keuangan Pasar Modal yang berada di wilayah kerjanya adalah,Mengenakan Sanksi Administrasi,Merekomendasikan pengenaan sanksi kepada Kantor OJK Koordinator,Mengenakan Perintah Tindakan Tertentu,Mengenakan Perintah Tertulis,B
263,Bagaimana penerapan prinsip syariah di pasar modal berdasarkan kaidah fiqih muamalah?,Semua tidak boleh dilakukan kecuali ada larangannya,Semua boleh dilakukan kecuali ada larangannya,Semua boleh dilakukan selama ada ketentuannya,Semua tidak boleh dilakukan kecuali ada ketentuannya,B
264,Sistem pelaporan yang dikelola oleh PT Kliring Penjaminan Efek Indonesia dan digunakan untuk menyampaikan laporan Modal Kerja Bersih Disesuaikan (MKBD) oleh Perusahaan Efek adalah,Sistem Pusat Pelaporan MKBD (SPP MKBD),Sistem Pelaporan E-Reporting,Sistem Layanan Informasi Keuangan (SLIK),Sistem Informasi Pasar Modal (SIPM),A
265,"Berikut yang merupakan komponen penilaian dari risiko operasional Manajer Investasi, kecuali",Jumlah nasabah,Kepemilikan kantor cabang,Banyaknya surat pemberitahuan dari Bank Kustodian,Besarnya dana kelolaan,C
266,"Pelaku Pasar Modal yang oleh undang-undang diberikan kewenangan untuk membuat ketentuan yang mengikat dan wajib ditaati oleh para pemakai jasanya (dikategorikan sebagai Self Regulatory Organization/SRO) adalah sebagai berikut, kecuali",Wali Amanat,Lembaga Penyimpanan dan Penyelesaian,Lembaga Kliring dan Penjaminan,Bursa Efek,A
267,"Surat Edaran Dewan Komisioner yang mengatur tentang Organisasi Bidang Pengawasan Sektor Pasar Modal, Keuangan Derivatif, dan Bursa Karbon yaitu",12/SEDK.02/2022,21/SEDK.02/2022,21/SEDK.02/2023,12/SEDK.02/2023,C
268,Dibawah ini yang bukan merupakan tujuan pelaksanaan Forum Panel adalah,Mendorong keseragaman tindakan pengawasan pada Perusahaan Efek yang melakukan kegiatan sebagai PEE dan/atau PPE,Melakukan reviu output pelaksanaan Pengawasan Berdasarkan Risiko agar sesuai ketentuan,"Melakukan reviu atas input, proses, dan output pelaksanaan Pengawasan Berdasarkan Risiko",Memperdalam hasil pengawasan yang dilakukan oleh Pengawas Perusahaan Efek,B
269,"Berikut ini adalah beberapa pernyataan yang benar terkait dengan syarat formil permohonan Keberatan sebagaimana diatur dalam Peraturan Nomor XIV.B.2 tentang Pengajuan Permohonan Keberatan Atas Sanksi, kecuali","Setiap pihak yang telah dikenakan Sanksi oleh OJK atau SRO (BEI, KPEI, KSEI) dan tidak puas atas sanksi tersebut",Isi surat keberatan adalah hal-hal yang diinginkan oleh pihak yang mengajukan permohonan keberatan dan informasi mengenai penolakan upaya administratif yang diterbitkan SRO,Diperbolehkan mengajukan secara tertulis lebih dari 20 hari setelah ditetapkannya Sanksi atau setelah ditolaknya upaya administratif yang disediakan oleh SRO,Diajukan secara tertulis paling lambat 20 hari setelah ditetapkannya Sanksi atau setelah ditolaknya upaya administratif,C
270,"Dalam menjalankan pengendalian kualitas melalui Forum Panel di Bidang Pasar Modal, dibutuhkan keterlibatan beberapa pihak, yaitu",Pengawas dan Panelis,"Panelis, Pengawas, Sekretariat Forum Panel","Komite Pengawasan, Panelis, Pengawas, Sekretariat Forum Panel","Komite Pengawasan, Panelis, Pengawas",C
271,"Tahapan pelaksanaan Forum Panel terdiri dari Persiapan, Pelaksanaan dan Pasca Pelaksanaan. Manakah aktivitas yang bukan merupakan bagian dari tahapan persiapan",Menyelenggarakan Pre Panel Meeting,Menyusun rencana pelaksanaan Forum Panel RBS selama 1 tahun,Penyusunan Risalah Rapat,Menyelenggarakan kick off meeting/refreshment,C
272,"Berapakah jangka waktu permohonan keberatan harus diajukan kepada OJK berdasarkan Peraturan Nomor XIV.B.2, apabila pihak yang dikenakan sanksi merasa tidak puas atas putusan sanksi?",14 hari setelah diterimanya surat sanksi,20 hari setelah diterimanya surat sanksi,14 hari setelah ditetapkannya sanksi,20 hari setelah ditetapkannya sanksi,D
273,"Pernyataan yang benar dalam POJK 22/POJK.02/2018: Jika Wajib Bayar tidak melunasi kewajiban biaya tahunan sampai batas waktu yang ditetapkan, OJK memberikan surat teguran yang memuat…",Semua Pernyataan benar,Teguran Pertama + sanksi denda 2% per bulan dari kewajiban pembayaran,Teguran Kedua + sanksi denda 2% per bulan dari kewajiban pembayaran,Maksimal 48% dari pungutan wajib,A
274,Proses perizinan yang belum dikenakan biaya registrasi adalah,"ASPM, E-RUPS dan LUD","ASPM, E-RUPS dan PPDES","ASPM, E-RUPS dan BAE","ASPM, BAE dan LUD",A
275,"Berikut ini merupakan dokumen yang disampaikan oleh SRO dalam persetujuan Rencana Kerja Anggaran tahunan, kecuali",Anggaran dan rencana kerja proyek insidentil,Anggaran beban dan pendapatan,Anggaran investasi,Gaji dan remunerasi,A
276,Proses Pernyataan Pendaftaran dalam rangka obligasi daerah di OJK hanya dapat dilaksanakan,Sebelum pemda memperoleh pertimbangan Kemendagri & persetujuan Kemenkeu,Setelah pemda memperoleh pertimbangan Kemendagri & persetujuan Kemenkeu,Sebelum pemda memperoleh pertimbangan Kemendagri & persetujuan BUMN,Setelah pemda memperoleh pertimbangan Kementerian BUMN & persetujuan Kemenkeu,B
277,Berikut ini adalah salah satu tugas dan fungsi Lembaga Kliring dan Penjaminan yaitu,Memberikan jeda pembiayaan transaksi marjin,Melakukan kliring & penjaminan penyelesaian transaksi bursa + mengelola dana jaminan,Menyediakan sistem dan menyelenggarakan transaksi,Memberikan pendanaan bagi transaksi efek,B
278,"Berikut ini adalah dasar pengajuan Rencana Kerja Anggaran Tahunan insidentil, kecuali",Kewajiban SRO berkoordinasi & melaporkan perubahan ke OJK,Adanya kebutuhan pengembangan/kegiatan mendesak,Adanya kebutuhan industri,Kewenangan OJK melakukan klarifikasi atas kegiatan & rencana kerja SRO,D
279,Hal berikut bukan merupakan tindak pidana pelanggaran pasar modal adalah,Semua merupakan tindak pidana pasar modal,Akuntan menandatangani opini audit laporan keuangan Emiten yang dipublikasikan di BEI,Pengelolaan portofolio investasi untuk nasabah tanpa izin,Orang yang menghancurkan catatan bukti transaksi yang sedang diperiksa OJK,B
280,Manakah dari pernyataan berikut yang tidak benar mengenai penegakan hukum di sektor Pasar Modal oleh OJK,Pemeriksaan kasus pasar modal dilakukan oleh pemeriksa OJK,Penyidikan pidana pasar modal dilakukan oleh penyidik OJK,Indikasi pidana berdasarkan hasil pemeriksaan harus dilanjutkan ke tahap penyidikan,Penuntutan pada pidana pasar modal dilakukan oleh penuntut OJK,D
281,Pihak yang diawasi secara langsung oleh OJK dalam konsep Penyelenggaraan Layanan Urun Dana adalah…,Penerbit,Pemodal,Penyelenggara,Bank Kustodian,C
282,"Yang bukan merupakan SPO terkait dengan pengawasan Penyelenggara Layanan Urun Dana Berbasi Teknologi Informasi, yaitu…",SPO Pemeriksaan Kepatuhan Penerbit,SPO Keterlambatan Penyampaian Laporan Penyelenggara Securities Crowdfunding,SPO Pemeriksaan Kepatuhan Penyelenggara,SPO Penelaahan Laporan Penyelenggara Securities Crowdfunding,A
283,Yang termasuk dalam profil risiko Perusahaan Efek dalam rangka Penilaian Risiko Komposit Perusahaan Efek yaitu,Risiko kredit,Tata Kelola,Rentabilitas,Permodalan,A
284,Yang bukan merupakan dasar hukum pemeriksaan kepatuhan SCF adalah,Undang-Undang Nomor 21 Tahun 2011 tentang Otoritas Jasa Keuangan,POJK 57/POJK.04/2020 tentang Penawaran Efek Melalui Layanan Urun Dana,POJK 16/POJK.04/2021 tentang Perubahan Atas POJK 57/POJK.04/2020,POJK 35/POJK.04/2017 tentang Kriteria dan Penerbitan Daftar Efek Syariah,D
285,Jenis Pelaporan berkala dari Lembaga Penunjang Pasar Modal antara lain…,"Laporan Tahunan, Laporan Operasional, dan Laporan Kejadian Signifikan","Laporan Keuangan, Laporan Operasional, dan Laporan Tahunan","Laporan Keuangan, Laporan Perubahan Data, dan Laporan Tahunan","Laporan harian-tahunan, Laporan Operasional, dan Laporan Keuangan",D
286,Penasihat Investasi berbentuk Perseroan Terbatas yang melakukan kegiatan pemeringkatan dan memberikan peringkat adalah…,Wali Amanat,Bank Kustodian,Perusahaan Pemeringkat Efek,Biro Administrasi Efek,C
287,Definisi Layanan Urun Dana adalah…,Penyelenggaraan layanan penawaran efek yang dilakukan oleh penerbit untuk menjual efek secara langsung kepada pemodal melalui jaringan sistem elektronik yang bersifat terbuka,Penyelenggaraan layanan penawaran efek yang dilakukan oleh Penyelenggara untuk menjual efek secara langsung kepada pemodal melalui jaringan sistem elektronik yang bersifat terbuka,Penyelenggaraan layanan penawaran efek yang dilakukan oleh penerbit untuk menjual efek secara langsung kepada pemodal yang bersifat terbuka,Penyelenggaraan layanan penawaran sukuk yang dilakukan oleh penerbit untuk menjual efek secara langsung kepada pemodal melalui jaringan sistem elektronik yang bersifat terbuka,A
